,Unique ID,Visits,IP address,Locale,Organization,Platform,All time goals,This Visit Date,This Visit Session,This Visit Landing Page,First Visit Date,First Visit Session,First Visit Landing Page
0,2749500497,5,67.188.228.0,"Redwood City, California, USA",Comcast Cable / comcast.net,Google Chrome 75.0 \xa0  Mac OS X \xa0,Main Register Step 1 (Aug 22 2019),"Wed Aug 14 2019, 9:14am","10m 20s, 3 actions",/blog/technolog,You are currently viewing this persons first visit.,,"
"
1,2931385836,1,74.131.86.0,"Jeffersonville, Indiana, USA",Spectrum / rr.com,Google Chrome 76.0 \xa0  Windows 10 \xa0,Main Register Step 1 (Aug 23 2019),"Fri Aug 23 2019, 5:22am","11m 47s, 2 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
2,3805514027,1,122.161.163.0,"Delhi, India",Airtel Broadband / airtelbroadband.in,Google Chrome 76.0 mobile \xa0  Android \xa0,Main Register Step 1 (Aug 24 2019),"Sat Aug 24 2019, 5:02am","4m 33s, 9 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
3,1702173539,1,87.200.8.0,"Dubai, The United Arab Emirates",Emirates Integrated Telecommunications,Internet Explorer 10.0 \xa0  Windows 7 \xa0,,"Sat Aug 24 2019, 9:36pm","1m 21s, 2 actions",/user/reset/10489/1566676483/M56T76-NmHE1lUerX8z,You are currently viewing this persons first visit.,,"
"
4,4261011725,1,106.51.26.0,"Bengaluru, India",Atria Convergence Technologies Pvt. Ltd.,Google Chrome 76.0 mobile \xa0  Android \xa0,Main Register Step 1 (Aug 26 2019),"Mon Aug 26 2019, 12:08pm","3m 26s, 4 actions",/user/reset/10489/1566676483/M56T76-NmHE1lUerX8z,You are currently viewing this persons first visit.,,"
"
5,307477874,1,174.202.18.0,"Brooklyn, New York, USA",Verizon Wireless / myvzw.com,Unknown mobile \xa0  iPhone \xa0 375x667 \xa0,Main Register Step 1 (Aug 27 2019),"Tue Aug 27 2019, 9:25am","1m 18s, 3 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
6,2515389026,1,199.76.88.0,USA,Level 3 Communications,Google Chrome 76.0 \xa0  Windows 10 \xa0,Main Register Step 1 (Aug 28 2019),"Wed Aug 28 2019, 1:22pm","27m 6s, 13 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
7,1266488079,1,201.162.241.0,Mexico,Telefónica Movistar / optele.net,Google Chrome 76.0 mobile \xa0  Android \xa0,Main Register Step 1 (Aug 29 2019),"Thu Aug 29 2019, 5:42am","7m 53s, 3 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
8,4259255819,1,207.135.70.0,"San Jose, California, USA",A-link Network Services,Google Chrome 76.0 \xa0  Mac OS X \xa0 1440x900,,"Fri Aug 30 2019, 9:13am","11m 51s, 37 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
9,4166675645,1,62.102.148.0,"Akersberga, Sweden",Kustbandet Ab,Google Chrome 76.0 mobile \xa0  Android \xa0,Main Register Step 1 (Aug 30 2019),"Fri Aug 30 2019, 3:10pm","6m 38s, 6 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
10,2377542555,1,24.130.244.0,"Monterey, California, USA",Comcast Cable / comcast.net,Safari 12.1 mobile \xa0  iPhone \xa0 414x736 \xa0,Main Register Step 1 (Aug 31 2019),"Sat Aug 31 2019, 5:40pm","4m 19s, 11 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
11,4007442294,1,73.47.24.0,"Sandwich, Massachusetts, USA",Comcast Cable / comcast.net,Unknown mobile \xa0  iPhone \xa0 414x736 \xa0 Apple,,"Sat Aug 31 2019, 5:22am","1m 43s, 2 actions",/info/digital-transformation-research-for-r-and-d-leaders,You are currently viewing this persons first visit.,,"
"
12,1386923266,1,104.188.190.0,"Orlando, Florida, USA",At&t U-verse / sbcglobal.net,Google Chrome 76.0 mobile \xa0  Android \xa0,,"Sat Aug 31 2019, 6:02am","14m 47s, 10 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
13,2320257317,1,194.170.64.0,The United Arab Emirates,Abu Dhabi National Oil Company,Google Chrome 76.0 \xa0  Windows 10 \xa0,Main Register Step 1 (Aug 31 2019),"Sat Aug 31 2019, 11:20am","1m 29s, 6 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
14,4111213415,1,184.74.151.0,"Brooklyn, New York, USA",Spectrum Business / rr.com,Google Chrome 76.0 \xa0  Mac OS X \xa0,Main Register Step 1 (Sep 2 2019),"Mon Sep 2 2019, 6am","17m 12s, 12 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
15,3952396975,2,188.154.133.0,"Geneva, Switzerland",Sunrise - Tdc Communications Ag /,Google Chrome 75.0 \xa0  Windows 10 \xa0,Main Register Step 1 (Sep 3 2019),"Tue Sep 3 2019, 8:38pm","6m 44s, 5 actions",/registe,"Tue Sep 3 2019, 8:14pm (23m 34s)","7m 57s, 1 action",  /
16,3972113169,1,121.123.16.0,Malaysia,Maxis Communications,Google Chrome 76.0 \xa0  Windows 10 \xa0,Main Register Step 1 (Sep 4 2019),"Wed Sep 4 2019, 10:47pm","4m 21s, 8 actions",/registe,"Wed Sep 4 2019, 10:16pm (31m 29s)","10m 58s, 3 actions",  /register
17,3206799888,1,202.185.131.0,Malaysia,Tt Dotcom Sdn Bhd,Safari 12.1 \xa0  Mac OS X \xa0 1440x900 \xa0,,"Wed Sep 4 2019, 8:27pm","9m 13s, 26 actions",/registe,You are currently viewing this persons first visit.,,  /register
18,1881247662,2,45.27.195.0,"Overland Park, Kansas, USA",At&t Internet Services,Safari 12.1 \xa0  Mac OS X \xa0 1680x1050 \xa0,Main Register Step 1 (Sep 5 2019),"Thu Sep 5 2019, 1:42pm","23m 1s, 31 actions",/registe,"Thu Sep 5 2019, 1:17pm (24m 53s)","10m, 1 action",  /
19,2193627482,1,105.192.220.0,"Cairo, Egypt",Mobinil 3g,Firefox 68.0 mobile \xa0  Android \xa0 360x640 \xa0,Main Register Step 1 (Sep 6 2019),"Fri Sep 6 2019, 2:40pm","6m 57s, 8 actions",/registe,You are currently viewing this persons first visit.,,  /
20,3414648695,4,199.76.88.0,USA,Level 3 Communications,Google Chrome 76.0 \xa0  Windows 10 \xa0,Main Register Step 1 (Sep 6 2019),"Fri Sep 6 2019, 2:21pm","49m 15s, 25 actions",/,"Tue Sep 3 2019, 4:49pm (2d 21h)","4m 30s, 12 actions", /
21,3842123626,1,76.103.157.0,"San Anselmo, California, USA",Comcast Cable / comcast.net,Safari 12.1 mobile \xa0  iPhone \xa0 768x1024 \xa0,Main Register Step 1 (Sep 6 2019),"Fri Sep 6 2019, 7:32am","3m 32s, 3 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
22,4144567453,2,172.58.224.0,"Brooklyn, New York, USA",T-mobile Usa,Google Chrome 76.0 mobile \xa0  Android \xa0,Main Register Step 1 (Sep 8 2019),"Sun Sep 8 2019, 9:25am","12m 30s, 4 actions",/digital-transformation-research-for-ceos-board-member,"Sun Sep 8 2019, 7:30am (1h 56m)","13m, 3 actions",  /info/digital-transformation-research-for-ceos-board-me…
23,625139702,1,45.26.125.0,"Cumming, Georgia, USA",At&t Internet Services,Safari 10.1 \xa0  Mac OS X \xa0 1280x800 \xa0,Main Register Step 1 (Sep 9 2019),"Mon Sep 9 2019, 12:16pm","12m 30s, 4 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,"13m, 3 actions","
"
24,1553879305,4,199.76.88.0,USA,Level 3 Communications,Google Chrome 76.0 \xa0  Windows 10 \xa0,Main Register Step 1 (Sep 10 2019),"Tue Sep 10 2019, 10:28am","3m 24s, 29 actions",/,"Wed Sep 4 2019, 4:03pm (5d 18h)","19m 56s, 8 actions", /
25,444147485,1,75.74.40.0,"Boca Raton, Florida, USA",Comcast Cable / comcast.net,Unknown mobile \xa0  iPhone \xa0 414x736 \xa0 Apple,,"Wed Sep 11 2019, 5:10pm","3m 1s, 3 actions",/info/digital-transformation-research-for-finance-accoun,You are currently viewing this persons first visit.,,"
"
26,3844372748,1,123.231.108.0,Sri Lanka,Dialog Axiata Plc.,Google Chrome 76.0 mobile \xa0  Android \xa0,Main Register Step 1 (Sep 12 2019),"Thu Sep 12 2019, 5:19pm","41m 52s, 18 actions",/info/digital-transformation-research-for-finance-accoun,You are currently viewing this persons first visit.,,"
"
27,3126939692,40,70.162.247.0,"Phoenix, Arizona, USA",Cox Communications / cox.net,Safari 12.0 \xa0  Mac OS X \xa0 3008x1692 \xa0,Main Register Step 1 (Sep 12 2019),"Sat Nov 10 2018, 9:01am","25m 13s, 15 actions",/info/digital-transformation-research-for-finance-accoun,You are currently viewing this persons first visit.,,"
"
28,976448957,1,37.161.118.0,"Le Petit-Quevilly, France",Iliad Italia S.p.a,Google Chrome 76.0 mobile \xa0  Android \xa0,Main Register Step 1 (Sep 12 2019),"Thu Sep 12 2019, 1:22pm","5m 15s, 4 actions",/info/digital-transformation-research-for-finance-accoun,You are currently viewing this persons first visit.,,"
"
29,445490735,1,151.254.10.0,"Riyadh, Saudi Arabia",Saudinet,Safari 12.1 mobile \xa0  iPhone \xa0 414x896 \xa0,Main Register Step 1 (Sep 13 2019),"Fri Sep 13 2019, 12:43pm","6m 34s, 6 actions",/info/digital-transformation-research-for-finance-accoun,You are currently viewing this persons first visit.,,"
"
30,982159300,2,173.167.136.0,"Chicago, Illinois, USA",Comcast Business / comcastbusiness.net,Safari 12.1 \xa0  Mac OS X \xa0 1280x800 \xa0,,"Fri Sep 13 2019, 12:18pm","8m 17s, 1 action",/,"Fri Sep 13 2019, 8:03am (4h 15m)","23m 28s, 2 actions", /info/digital-transformation-research-for-ceos-board-me…
31,3536382069,1,134.35.144.0,Yemen,Yemen Net,Google Chrome 76.0 mobile \xa0  Android \xa0,Main Register Step 1 (Sep 15 2019),"Sun Sep 15 2019, 7:05pm","2m 12s, 5 actions",/,You are currently viewing this persons first visit.,, /info/digital-transformation-research-for-ceos-board-me…
32,3446066586,1,41.13.66.0,"Pretoria, South Africa",Vodacom / vodacom.co.za,Internet Explorer 11.0 \xa0  Windows 10 \xa0,,"Wed Sep 18 2019, 3:06pm","7m 50s, 10 actions",/,You are currently viewing this persons first visit.,, /info/digital-transformation-research-for-ceos-board-me…
33,3827902907,1,76.224.17.0,"Frankfort, Illinois, USA",At&t Internet Services,Google Chrome 76.0 \xa0  Mac OS X \xa0 1280x800,,"Thu Sep 12 2019, 11:58am","6m 39s, 1 action",/,You are currently viewing this persons first visit.,, /info/digital-transformation-research-for-ceos-board-me…
34,1038980158,1,213.215.38.0,Monaco,Nerim Sas,Safari 12.1 mobile \xa0  iPhone \xa0 768x1024 \xa0,Main Register Step 1 (Sep 19 2019),"Thu Sep 19 2019, 5:44pm","9m 40s, 5 actions",/,You are currently viewing this persons first visit.,, /info/digital-transformation-research-for-ceos-board-me…
35,1484579882,2,174.203.6.0,"New York, New York, USA",Verizon Wireless / myvzw.com,Unknown mobile \xa0  iPhone \xa0 320x568 \xa0 Apple,,"Thu Sep 19 2019, 4:18am","9m 40s, 5 actions",/info/digital-transformation-research-for-ceos-board-me,"Sun Aug 25 2019, 6:23am (24d 21h)",,  /info/digital-transformation-research-for-ceos-board-me…
36,1024568242,2,105.168.75.0,Angola,Unitel Sa,Safari 12.1 mobile \xa0  iPhone \xa0 375x667 \xa0,Main Register Step 1 (Sep 20 2019),"Fri Sep 20 2019, 7:29pm","7m 9s, 5 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,  /info/digital-transformation-research-for-ceos-board-me…
37,1585779782,1,172.58.229.0,"Brooklyn, New York, USA",T-mobile Usa,Unknown mobile \xa0  iPhone \xa0 375x812 \xa0,Main Register Step 1 (Sep 21 2019),"Sat Sep 21 2019, 12:10pm","1m 4s, 2 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
38,3789116115,1,199.195.247.0,USA,Business Only Broadband /,Unknown mobile \xa0  iPhone \xa0 375x812 \xa0,Main Register Step 1 (Sep 22 2019),"Sun Sep 22 2019, 7:06pm","11m 21s, 4 actions",/Info/digital-transformation-research-for-r-and-d-leaders,You are currently viewing this persons first visit.,,"
"
39,1811723813,1,60.33.12.0,"Fujisawa, Japan",Ntt / ocn.ne.jp,Google Chrome 76.0 \xa0  Mac OS X \xa0,Main Register Step 1 (Sep 23 2019),"Mon Sep 23 2019, 1:46am","11m 21s, 4 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
40,3410722595,1,76.113.85.0,"Albuquerque, New Mexico, USA",Comcast Cable / comcast.net,Unknown mobile \xa0  iPhone \xa0 375x812 \xa0,Main Register Step 1 (Sep 23 2019),"Mon Sep 23 2019, 7:52pm","11m 21s, 4 actions",/info/digital-transformation-research-for-ceos-board-me,You are currently viewing this persons first visit.,,"
"
41,2963717471,1,192.234.111.0,"Piscataway, New Jersey, USA",Aventis Pharmaceuticals,Microsoft Edge 17 \xa0  Windows 10 \xa0,Main Register Step 1 (Sep 23 2019),"Mon Sep 23 2019, 2:50pm","12m 10s, 12 actions",/digital-transformation-research-for-cio,You are currently viewing this persons first visit.,,"
"
42,947440372,1,142.54.206.0,,Digicel Jamaica,Google Chrome 77.0 \xa0  Windows 10 \xa0,,"Tue Sep 24 2019, 7:59pm","12m 3s, 7 actions",/digital-transformation-research-for-cio,You are currently viewing this persons first visit.,,"
"
43,2304685506,1,60.251.109.0,"Taipei, Taiwan",Hinet / hinet.net,Safari 12.1 \xa0  Mac OS X \xa0 1440x900 \xa0,Main Register Step 1 (Sep 24 2019),"Tue Sep 24 2019, 8:20pm","6m 39s, 5 actions",/digital-transformation-research-for-cio,You are currently viewing this persons first visit.,,"
"
44,2325159814,5,103.5.135.0,"Bengaluru, India",Bangalore Broadband Network Pvt,Google Chrome 76.0 \xa0  Windows 10 \xa0,Main Register Step 1 (Sep 24 2019),"Tue Sep 24 2019, 3:11am","17m 23s, 14 actions",/digital-transformation-research-for-sales-leader,"Mon Aug 5 2019, 12:13am (50d 2h)","15m 28s, 6 actions",  /
45,3552935535,1,83.32.192.0,"Madrid, Spain",Telefonica De Espana / rima-tde.net,Safari 12.1 mobile \xa0  iPhone \xa0 375x667 \xa0,Main Register Step 1 (Sep 25 2019),"Wed Sep 25 2019, 1:46pm","6m 4s, 3 actions",/digital-transformation-research-for-sales-leader,You are currently viewing this persons first visit.,,  /
46,2558758376,3,65.115.232.0,"outh Plainfield, New Jersey, USA",Centurylink / qwest.net,Google Chrome 68.0 /  Windows 10 / 1280x720,"""Lets Engage Lead Capture  (Aug 10 2018)""","Fri Aug 10 2018, 1:12pm","6m 4s, 3 actions", ,"Wed Aug 8 2018, 10:14am (2d 2h)",,    /analytics/business-intelligence-consulting  
47,2558758376,3,65.115.232.0,"outh Plainfield, New Jersey, USA",Centurylink / qwest.net,Google Chrome 68.0 /  Windows 10 / 1280x720,"""Lets Engage Lead Capture  (Aug 10 2018)""","Fri Aug 10 2018, 1:12pm","6m 4s, 3 actions", ,"Wed Aug 8 2018, 10:14am (2d 2h)",,    /analytics/business-intelligence-consulting  
